GPU 0: NVIDIA GeForce RTX 3050 Laptop GPU with 4095.5 MB memory
Using device: cuda


=== [1/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png ===

--- Original Prediction Results ---
Predicted class: 4 (adware)

Confidence     : 0.4133

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7747 with confidence 0.3065!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7747 with confidence 0.3065

Benign probability changes (iteration, prob):
Iteration 3383: Benign prob = 0.1051
Iteration 3407: Benign prob = 0.1069
Iteration 3421: Benign prob = 0.1091
Iteration 3483: Benign prob = 0.1117
Iteration 3570: Benign prob = 0.1122
Iteration 3595: Benign prob = 0.1125
Iteration 3642: Benign prob = 0.1135
Iteration 3664: Benign prob = 0.1145
Iteration 3668: Benign prob = 0.1151
Iteration 3690: Benign prob = 0.1152
Iteration 3696: Benign prob = 0.1160
Iteration 3721: Benign prob = 0.1164
Iteration 3739: Benign prob = 0.1166
Iteration 3780: Benign prob = 0.1213
Iteration 3785: Benign prob = 0.1222
Iteration 3788: Benign prob = 0.1241
Iteration 3991: Benign prob = 0.1256
Iteration 3992: Benign prob = 0.1278
Iteration 4081: Benign prob = 0.1283
Iteration 4099: Benign prob = 0.1286
Iteration 4102: Benign prob = 0.1294
Iteration 4179: Benign prob = 0.1336
Iteration 4216: Benign prob = 0.1358
Iteration 4289: Benign prob = 0.1368
Iteration 4328: Benign prob = 0.1376
Iteration 4341: Benign prob = 0.1384
Iteration 4359: Benign prob = 0.1390
Iteration 4394: Benign prob = 0.1396
Iteration 4416: Benign prob = 0.1400
Iteration 4536: Benign prob = 0.1409
Iteration 4596: Benign prob = 0.1424
Iteration 4634: Benign prob = 0.1435
Iteration 4650: Benign prob = 0.1440
Iteration 4678: Benign prob = 0.1443
Iteration 4724: Benign prob = 0.1469
Iteration 4745: Benign prob = 0.1513
Iteration 4780: Benign prob = 0.1545
Iteration 4824: Benign prob = 0.1574
Iteration 4863: Benign prob = 0.1580
Iteration 4887: Benign prob = 0.1612
Iteration 4946: Benign prob = 0.1621
Iteration 4966: Benign prob = 0.1639
Iteration 4972: Benign prob = 0.1640
Iteration 5008: Benign prob = 0.1648
Iteration 5066: Benign prob = 0.1700
Iteration 5217: Benign prob = 0.1706
Iteration 5338: Benign prob = 0.1808
Iteration 5357: Benign prob = 0.1898
Iteration 5438: Benign prob = 0.1910
Iteration 5440: Benign prob = 0.1922
Iteration 5497: Benign prob = 0.1927
Iteration 5521: Benign prob = 0.1955
Iteration 5567: Benign prob = 0.1957
Iteration 5625: Benign prob = 0.1957
Iteration 5641: Benign prob = 0.1970
Iteration 5643: Benign prob = 0.1976
Iteration 5655: Benign prob = 0.1986
Iteration 5705: Benign prob = 0.2031
Iteration 5734: Benign prob = 0.2037
Iteration 5808: Benign prob = 0.2083
Iteration 5865: Benign prob = 0.2085
